Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Sky Temperature [C](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Ground Temperature [C](TimeStep),Environment:Site Outdoor Air Enthalpy [J/kg](TimeStep),Environment:Site Outdoor Air Density [kg/m3](TimeStep),Environment:Site Rain Status [](TimeStep),BLOCK1:ZONE4:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE3:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE7:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE6:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE5:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE2:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK6:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),PEOPLE BLOCK1:ZONE4:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE3:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE7:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE6:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE5:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK6:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON) 
 01/02  07:00:00,18.0,73.0,2.3,270.0,4.099761881760685,35.0,502.0,24.18,42156.174828743344,1.1811034955000644,0.0,20.9136689616796,20.32383400572571,19.804418974096668,20.294737048977959,20.367801831461624,20.67533208032142,20.7442061864173,19.89752232876595,-1.7794313193457652,-4.781238729814157,-2.6354966469141174,-4.660056130279153,-1.8856815216583929,-1.8240000015280205,-1.6869959391771168,-2.0728861903675406 
 01/02  08:00:00,19.0,68.0,2.2,270.0,5.128535628668999,57.0,763.0,24.18,42976.9585561544,1.1772089596907345,0.0,20.173381478294929,20.164650740449635,20.283309026534029,20.1891240153467,20.815665681019838,20.159037837115898,20.438736182246179,20.42389573328887,-1.7059419424969274,-4.7486226006833089,-2.5135824468081875,-4.727837563127784,-1.7808171081772089,-1.681849396352814,-1.7175257730287397,-1.947616227690779 
 01/02  09:00:00,20.0,64.0,2.1,90.0,5.94341561115192,78.0,875.0,24.18,44061.46091228938,1.1719769304734667,0.0,20.64896182558494,21.516972788661098,20.919816466763558,21.50900993894353,21.282338710629447,20.641407525881307,20.88638005018403,21.03690209372907,-1.774799039005645,-4.798432588319937,-2.380485083355387,-4.760899542202806,-1.6438801216273882,-1.7522805684442973,-1.7634595384115286,-1.7597439178693136 
 01/02  10:00:00,21.0,60.0,2.0,90.0,6.952081907257593,93.0,919.0,24.18,45014.98750392672,1.1680428017372396,0.0,21.586441446871925,22.377264637423865,21.70988858086388,22.355339446322128,22.027620661021069,21.432054116397269,22.17902369755236,21.939618739696529,-1.6231874908820115,-4.384899193682063,-2.1913650938949575,-4.3571095053944399,-1.4673982845013034,-1.6288873283554442,-1.6553478349454086,-1.521154214298715 
 01/02  11:00:00,22.0,57.0,1.9,90.0,9.329398990383425,101.0,888.0,24.18,46280.02072565495,1.163909341787394,0.0,22.510873883623906,23.123533283175989,22.48801469659033,23.142752983050806,22.70199136953065,22.226216736244774,23.347581363834356,22.824100412835234,-1.3992761681706332,-4.111961309745003,-1.9655740279569225,-4.086670355831358,-1.2489794075971439,-1.4618322887245326,-1.3800466923702497,-1.2219138485658626 
 01/02  12:00:00,23.0,53.0,1.8,90.0,10.30247367791759,107.0,940.0,24.18,47033.99351059083,1.159014152208067,0.0,23.33197709968109,23.63097830251742,23.354122513719145,23.64211147246033,23.546964817483518,22.976955196972257,24.097405477455518,23.885154389639923,-1.1814717705602436,-3.8564575242345549,-1.7321527588296578,-3.8225403856957307,-1.026036810410907,-1.2926542226332212,-1.1071070590544412,-0.9140533224842461 
 01/02  13:00:00,24.0,50.0,1.7,90.0,12.219097197280235,159.0,906.0,24.18,48105.741980335406,1.1550781964232786,0.0,23.641143829920144,23.845208240137916,24.012051799031064,23.868628432326749,24.195563096431778,23.50057471050407,24.882008197356418,24.82560900468025,-0.9928929191220852,-3.671075661718426,-1.4783641323285933,-3.6407337868946918,-0.7657330083707885,-1.124324907934473,-0.9101003531946041,-0.5722473941408762 
 01/02  14:00:00,25.0,47.0,1.6,90.0,13.163103132537004,107.0,927.0,24.18,49078.59877578408,1.1512394761214556,0.0,23.81034544602282,24.01166905493408,24.645107888727133,24.035021576913836,24.754407950015943,23.930367413206335,24.46247846600133,25.778464144715515,-0.8935710722318647,-3.5653386374683326,-1.2631468298351756,-3.5306792151276178,-0.5684503850927922,-0.9933150429626231,-0.7035031878070136,-0.25597431643598159 
 01/02  15:00:00,26.0,45.0,1.5,90.0,14.839153853901621,115.0,858.0,24.18,50515.92321758071,1.1459482524609129,0.0,24.112755405535006,24.26078892210063,25.14236775454043,24.288093224434513,25.194910018399694,24.31112796939018,24.6740833535804,26.72051133986368,-0.8212057552790452,-3.474599533387506,-1.0592210599991164,-3.4384390592952767,-0.4067273316857976,-0.8762911967159203,-0.7385619725987535,0.04422167070725083 
 01/02  16:00:00,25.2,48.0,1.3,90.0,13.350787994465407,132.0,845.0,24.18,50123.90553614333,1.14871682952865,0.0,24.32543739685968,24.430344538974475,25.05926962048097,24.446930443543253,25.261056108054576,24.36001102917583,24.489550453288126,26.430646678097824,-0.7222851088973393,-3.3637007320182286,-0.8761462845752658,-3.3233756172781234,-0.2828297171694172,-0.7639927164712277,-0.6566435620001427,0.33383792967834527 
