Hora,Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Rain_Status,Solteiro_PMV,Solteiro_Temp,Circulacao_PMV,Circulacao_Temp,JanelaSolteiroNorte,PortaSolteiroSul,JanelaSolteiroSul
1.0,22.0,3.4,90.0,76.0,1.15561611471,0.0,-2.1247516562,25.3433595958,-0.400877889654,23.470675947,0.5,0.0,0.479999989271
2.0,21.7,2.9,90.0,81.0,1.15568879407,0.0,-2.08289259111,25.4155987635,-0.416250995384,23.3685734259,0.5,0.0,0.479999989271
3.0,21.4,2.4,90.0,85.0,1.15611223323,0.0,-2.03251128909,25.4604911715,-0.428573331216,23.5359181962,0.5,0.0,0.479999989271
4.0,21.0,2.6,90.0,88.0,1.158607397,0.0,-1.99160928638,25.2720720826,-0.403485996774,23.2179187957,0.5,0.0,0.479999989271
5.0,20.6,2.9,90.0,91.0,1.15995300826,0.0,-2.04130970733,24.963646586,-0.476156789234,22.7371814003,0.5,0.0,0.479999989271
6.0,21.2,2.6,90.0,89.0,1.15601802743,0.0,-2.13190379382,25.1566029608,-0.574462792015,23.8783495503,0.5,0.0,0.479999989271
7.0,21.8,2.4,90.0,87.0,1.15329280826,0.0,-2.06330267527,24.926647346,-0.359901849321,22.9062699924,0.5,0.0,0.479999989271
8.0,22.4,2.1,140.0,85.0,1.1505923425,0.0,-2.09136802499,25.3267773272,-0.515661608833,23.7064516523,0.5,0.0,0.479999989271
9.0,23.0,1.8,140.0,83.0,1.14791782887,0.0,-1.96443881086,25.5713902574,-0.358610441313,24.3269460479,0.5,0.0,0.479999989271
10.0,23.6,1.6,140.0,82.0,1.14492835051,0.0,-1.87309240371,25.7906682681,-0.211124629911,24.9114458369,0.5,0.0,0.479999989271
11.0,24.2,1.3,140.0,80.0,1.14229769046,0.0,-1.7856888303,26.0005974487,-0.0700782026201,25.2144100273,0.5,0.0,0.479999989271
12.0,24.8,1.0,140.0,78.0,1.13969654122,0.0,-1.69708099381,26.0108657541,0.0217147765549,25.5089832458,0.5,0.0,0.479999989271
13.0,25.4,0.8,140.0,77.0,1.13674751878,0.0,-1.67729547103,25.9970341212,0.115233511089,26.0029911117,0.5,0.0,0.479999989271
14.0,26.0,0.5,140.0,75.0,1.13303198513,0.0,-1.67575683054,25.9965028183,0.23775776516,26.3566401952,0.5,0.0,0.479999989271
15.0,25.6,0.6,140.0,77.0,1.13447195553,0.0,-1.66823551804,25.9933322088,0.32064755857,26.2125567824,0.5,0.0,0.479999989271
16.0,25.3,0.7,140.0,80.0,1.13500388809,0.0,-1.65339703378,25.996518141,0.308689443441,26.1256373487,0.5,0.0,0.479999989271
17.0,24.9,0.7,140.0,82.0,1.13650101661,0.0,-1.62299136737,25.9961810952,0.308693171136,25.7661006041,0.5,0.0,0.479999989271
18.0,24.5,0.8,140.0,85.0,1.13766227319,0.0,-1.59174390599,25.9951838749,0.250362981175,25.6115161187,0.5,0.0,0.479999989271
19.0,24.2,0.9,140.0,87.0,1.13747597501,0.0,-1.56317466574,25.9963094446,0.21857748006,25.781573528,0.5,0.0,0.479999989271
20.0,23.8,1.0,140.0,90.0,1.13870217507,0.0,-1.55235085216,25.9945096088,0.242378437087,25.7419040872,0.5,0.0,0.479999989271
21.0,23.8,1.1,140.0,89.0,1.13904825461,0.0,-1.5322570949,25.9979260675,0.228603133105,25.9571658621,0.5,0.0,0.479999989271
22.0,23.8,1.2,140.0,87.0,1.13974041369,0.0,-1.52693499031,25.9800911324,0.264935302472,25.9915418846,0.5,0.0,0.479999989271
23.0,23.8,1.3,140.0,85.0,1.14043257276,0.0,-1.54456053297,25.9964401607,0.261732026213,26.0155454131,0.5,0.0,0.479999989271
0.0,23.8,1.4,140.0,84.0,1.1407786523,0.0,-1.56021816781,25.9962364877,0.242219166292,26.0659798858,0.5,0.0,0.479999989271
1.0,23.8,1.4,140.0,82.0,1.14147081138,0.0,-1.57690690473,25.9959696881,0.230638813762,26.0743034226,0.5,0.0,0.479999989271
2.0,23.8,1.5,140.0,80.0,1.14216297046,0.0,-1.59113906749,25.9958244118,0.223309136948,26.0516148878,0.5,0.0,0.479999989271
3.0,23.8,1.6,140.0,79.0,1.14250904999,0.0,-1.60896109095,25.9175144455,0.204603488787,26.0952494654,0.5,0.0,0.479999989271
4.0,23.8,1.7,140.0,77.0,1.14320120907,0.0,-1.65439805731,25.9389529719,0.188663722069,25.7494302793,0.5,0.0,0.479999989271
5.0,23.8,1.8,140.0,76.0,1.14354728861,0.0,-1.68099049722,25.9941481054,0.0960637741333,25.9228075246,0.5,0.0,0.479999989271
6.0,24.3,1.9,140.0,73.0,1.14189280745,0.0,-1.68164871985,25.9847936304,0.11182335554,25.2371362045,0.5,0.0,0.479999989271
7.0,24.9,2.0,140.0,69.0,1.14011975789,0.0,-1.68656291665,25.9832593677,0.00802046811952,25.4796944174,0.5,0.0,0.479999989271
8.0,25.4,2.1,320.0,66.0,1.13857999632,0.0,-1.68058347801,26.0066289197,0.0906563702615,25.9740016434,0.5,0.0,0.479999989271
9.0,25.9,2.2,320.0,63.0,1.13709359254,0.0,-1.65898619261,25.9977983487,0.202767460118,26.1396456396,0.5,0.0,0.479999989271
