Hora,Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Rain_Status,Casal_PMV,Casal_Temp,Circulacao_PMV,Circulacao_Temp,JanelaCasalNorte,PortaCasalOeste,JanelaCasalOeste
15.0,25.2,1.3,90.0,48.0,1.14871682953,0.0,-3.01414079228,24.9741093636,-0.594280833086,24.9613718212,0.449999988079,0.0,0.439999997616
16.0,24.3,1.2,90.0,52.0,1.15171219482,0.0,-2.99029296212,24.8411561858,-0.502208554485,24.5087131381,0.449999988079,0.0,0.439999997616
17.0,23.5,1.0,90.0,55.0,1.15466907652,0.0,-2.98721469766,24.616385597,-0.572806529734,24.099455397,0.449999988079,0.0,0.439999997616
18.0,22.7,0.8,90.0,59.0,1.15737755359,0.0,-3.02211728458,24.3224857166,-0.652584316845,23.5710553527,0.449999988079,0.0,0.439999997616
19.0,21.8,0.7,90.0,64.0,1.15921020859,0.0,-3.07810008192,24.112189885,-0.757032030005,23.8098226805,0.449999988079,0.0,0.430000007153
20.0,21.0,0.5,140.0,69.0,1.16183712158,0.0,-3.10476144594,23.787915368,-0.710561253966,23.5850476485,0.449999988079,0.0,0.430000007153
21.0,20.4,0.5,140.0,71.0,1.16438213633,0.0,-3.1688513459,23.0387543475,-0.754807358075,23.5616303059,0.449999988079,0.0,0.430000007153
22.0,19.8,0.5,140.0,73.0,1.1681449117,0.0,-3.3843386445,22.7423060898,-0.763417662933,23.3903414376,0.449999988079,0.0,0.430000007153
23.0,19.2,0.6,140.0,76.0,1.17048268975,0.0,-3.48014476886,22.4288330069,-0.807113287987,23.087180241,0.449999988079,0.0,0.430000007153
0.0,18.6,0.6,140.0,79.0,1.17286498826,0.0,-3.57918832496,22.0643457515,-0.875843723113,22.8047062582,0.449999988079,0.0,0.439999997616
1.0,17.9,0.6,140.0,82.0,1.17701797951,0.0,-3.69793525549,21.6215858522,-0.941738545925,22.450526667,0.449999988079,0.0,0.439999997616
2.0,17.3,0.6,140.0,85.0,1.17948837789,0.0,-3.85104656262,21.2452267664,-1.02730278862,22.1429983472,0.449999988079,0.0,0.439999997616
3.0,16.7,0.7,140.0,87.0,1.18222615513,0.0,-3.98705460156,20.6828670976,-1.10445986389,22.4069400791,0.449999988079,0.0,0.430000007153
4.0,16.1,0.7,140.0,91.0,1.18574851234,0.0,-4.19141395333,20.3017810926,-1.06541102102,22.1049756937,0.449999988079,0.0,0.430000007153
5.0,15.5,0.7,140.0,94.0,1.18833281508,0.0,-4.33117266346,19.7700721381,-1.14333372238,22.226988361,0.449999988079,0.0,0.430000007153
6.0,17.0,0.8,140.0,86.0,1.18205546787,0.0,-4.52185660337,20.7573825286,-1.11655535187,22.0968367003,0.449999988079,0.0,0.439999997616
7.0,18.5,0.9,140.0,79.0,1.17458816384,0.0,-4.23684156501,21.6578640027,-1.13586593507,21.0030209273,0.449999988079,0.0,0.439999997616
8.0,20.0,1.0,140.0,73.0,1.16828648257,0.0,-3.96140996882,22.523252506,-1.34120720496,21.5948133556,0.449999988079,0.0,0.439999997616
9.0,21.5,1.1,140.0,67.0,1.16220500892,0.0,-3.68540058588,23.3075932687,-1.2079054487,22.5686696331,0.449999988079,0.0,0.439999997616
10.0,23.0,1.2,140.0,62.0,1.15486167784,0.0,-3.43084617798,24.2330713516,-0.991235876546,23.5335415129,0.449999988079,0.0,0.439999997616
11.0,24.5,1.2,140.0,57.0,1.1489150147,0.0,-3.12064237993,24.8694086302,-0.759966209854,24.582480017,0.449999988079,0.0,0.439999997616
12.0,26.0,1.3,140.0,53.0,1.14281451192,0.0,-2.88872814056,25.4203127714,-0.506406473936,25.4150643156,0.449999988079,0.0,0.439999997616
13.0,27.5,1.4,140.0,49.0,1.13575103428,0.0,-2.67405120309,26.0468983998,-0.289666959847,25.3874160489,0.449999988079,0.0,0.439999997616
14.0,29.0,1.5,230.0,45.0,1.13006924994,0.0,-2.42502082119,26.6249338216,-0.24857224049,25.5707394816,0.449999988079,0.0,0.439999997616
15.0,28.0,1.3,230.0,49.0,1.13324843187,0.0,-2.20707911,26.6013995422,-0.181932611882,25.842830934,0.449999988079,0.0,0.439999997616
16.0,27.0,1.2,230.0,52.0,1.13700406339,0.0,-2.15365167665,26.4466490414,-0.101599136096,25.950353352,0.449999988079,0.0,0.439999997616
17.0,26.0,1.0,230.0,56.0,1.14047461893,0.0,-2.15676021361,26.2403205735,-0.0618190731344,25.9706603004,0.449999988079,0.0,0.439999997616
18.0,25.0,0.8,230.0,60.0,1.14408737929,0.0,-2.18389753476,25.9901496815,-0.0449197249951,25.557419296,0.449999988079,0.0,0.439999997616
19.0,24.0,0.7,230.0,64.0,1.14783261802,0.0,-2.22472867007,25.7452522855,-0.11912198683,25.1335310037,0.449999988079,0.0,0.430000007153
20.0,23.0,0.5,50.0,69.0,1.15137052241,0.0,-2.26814448952,25.4465100972,-0.205396888322,24.9210183435,0.439999997616,0.0,0.430000007153
21.0,22.4,0.5,50.0,71.0,1.15388622415,0.0,-2.32427967298,24.7557553907,-0.254478784081,24.9178436533,0.439999997616,0.0,0.430000007153
22.0,21.8,0.5,50.0,73.0,1.15761377202,0.0,-2.51897037425,24.4321911279,-0.260054774938,24.6155179836,0.439999997616,0.0,0.430000007153
23.0,21.2,0.6,50.0,75.0,1.16019161282,0.0,-2.61678202657,24.0368000497,-0.330455376439,24.452248767,0.439999997616,0.0,0.430000007153
0.0,20.6,0.6,50.0,78.0,1.16369567553,0.0,-2.73854953522,23.736142598,-0.374614342372,24.128930118,0.439999997616,0.0,0.430000007153
1.0,19.9,0.6,50.0,80.0,1.16687601664,0.0,-2.83464831543,23.2902352787,-0.449906826917,23.8180716768,0.439999997616,0.0,0.430000007153
2.0,19.3,0.6,50.0,83.0,1.17047180182,0.0,-2.98889898395,22.9384082998,-0.528075873416,23.5634542871,0.439999997616,0.0,0.430000007153
3.0,18.7,0.7,50.0,85.0,1.17317882712,0.0,-3.11255423416,22.498745258,-0.595064423003,23.4184815718,0.439999997616,0.0,0.430000007153
4.0,18.1,0.7,50.0,88.0,1.17685649709,0.0,-3.27305487537,22.1690865577,-0.642501238594,22.9998799108,0.439999997616,0.0,0.430000007153
5.0,17.5,0.7,50.0,91.0,1.17937958809,0.0,-3.40135933594,21.7597832698,-0.745236239536,22.7112737622,0.439999997616,0.0,0.430000007153
6.0,19.0,1.0,50.0,84.0,1.17182239676,0.0,-3.5513216667,22.7377488631,-0.808523301635,22.6545928272,0.439999997616,0.0,0.430000007153
7.0,20.5,1.2,50.0,79.0,1.16513042579,0.0,-3.26214248158,23.344299556,-0.810204423448,22.1526821586,0.439999997616,0.0,0.439999997616
8.0,22.0,1.5,180.0,73.0,1.15891382483,0.0,-3.05917528089,24.2897229163,-0.894110159706,23.4539430355,0.449999988079,0.0,0.439999997616
9.0,23.5,1.8,180.0,68.0,1.15142069476,0.0,-2.76303972394,25.1205325107,-0.626562954793,24.4186571214,0.449999988079,0.0,0.439999997616
10.0,25.0,2.0,180.0,64.0,1.14494319508,0.0,-2.48174920769,25.997212894,-0.400273142302,25.2350176522,0.449999988079,0.0,0.439999997616
11.0,26.5,2.3,180.0,60.0,1.13746703655,0.0,-2.17697794995,26.3387362798,-0.193264809056,25.728631357,0.449999988079,0.0,0.439999997616
12.0,28.0,2.6,180.0,56.0,1.13134221428,0.0,-2.01967520476,26.7987773033,-0.0455197954558,25.9003254241,0.449999988079,0.0,0.439999997616
13.0,29.5,2.8,180.0,52.0,1.1254206008,0.0,-1.82640494413,27.1824395367,0.0174887016087,26.6058754446,0.449999988079,0.0,0.439999997616
14.0,31.0,3.1,140.0,49.0,1.11806409533,0.0,-1.67948346056,28.968518769,0.181442566162,31.6986439868,0.449999988079,0.0,0.439999997616
15.0,30.0,3.4,140.0,51.0,1.12333304745,0.0,-1.07779936945,29.0553307808,1.28496240998,31.6172969635,0.449999988079,0.0,0.439999997616
